video_id,author,comment_text,like_count,published_at,cyberbullying
NT6bCf-r9JY,@rebekavlogs2483,Puta que pariu,0.0,2021-02-16T02:59:45Z,1
NT6bCf-r9JY,@denisesouza6921,A cams tá nojenta emmmm 😍👏👏😱,0.0,2021-02-15T16:50:20Z,1
NT6bCf-r9JY,@eloisesilva7658,A cams falando os óculos que ela comprou<br>Ele custa mais ou menos 4.000 <br>Eu:👁️👄👁️ quem e pobre só chora kkkkk,3.0,2021-02-14T22:17:45Z,1
NT6bCf-r9JY,@daniellesantos5753,Eu também para provar roupa Mó difícil mas ainda eu que tenho a coxa grossa também é um pouco gordo mas não é minha culpa tudo isso porque eu tenho tireoides,1.0,2021-02-13T18:24:23Z,1
NT6bCf-r9JY,@eticia7810,Cams esfrego na minha cara em 10 mil linguas diferentes que so pobre 👁👄👁💜,54.0,2021-02-13T16:21:57Z,1
NT6bCf-r9JY,@lu.cardosooficial6252,Gente a cams é negra né ??,0.0,2021-02-13T15:50:38Z,1
NT6bCf-r9JY,@Shayffy,&quot;85% vai ignorar&quot;<br>&quot;10% vai me chamar de mendigo&#39;<br>&quot;5 % vai me ajudar<br>     DEUS É FIEL,19.0,2021-02-13T15:02:52Z,1
NT6bCf-r9JY,@Shayffy,&quot;85% vai ignorar&quot;<br>&quot;10% vai me chamar de mendigo&#39;<br>&quot;5 % vai me ajudar<br>     DEUS É FIEL,9.0,2021-02-13T15:02:47Z,1
C8vI-nO7s6s,@juliagodoy7921,Jesus weuller muito burro kkkkk,1.0,2025-03-09T00:32:57Z,1
C8vI-nO7s6s,@PauloSouza-kh7bs,weuller é tao burro q chega a irritar 😂,0.0,2025-02-25T19:18:07Z,1
C8vI-nO7s6s,@babi_daily,"O weler Calvo kaka😂😂<a href=""https://www.youtube.com/watch?v=C8vI-nO7s6s&amp;t=987"">16:27</a>",0.0,2025-02-25T16:34:19Z,1
C8vI-nO7s6s,@camillatlima,O melhor é o Weuller jurando que é tal sabor e colocando chocolate no diamante negro 😂😂😂😂,10.0,2025-02-25T01:56:04Z,1
C8vI-nO7s6s,@frayanemelo771,O tanto que eu Ri no diamante negro kkkkkkkkkkkkkkk,2.0,2025-02-25T01:51:22Z,1
C8vI-nO7s6s,@sololiveira4001,como é q erra o &quot;diamante negro&quot; ??? eu rir viu 😂,16.0,2025-02-25T00:53:02Z,1
C8vI-nO7s6s,@Simplylaizaa,Eu morri na parte do diamante negro KAKAKAKKAKAKA,2.0,2025-02-24T22:30:35Z,1
9TbzIKWtvOc,@enrickdasilva6398,A vai pa puta que paril rezende  ta precisando de Adsense,0.0,2024-08-08T23:14:37Z,1
9TbzIKWtvOc,@EmillyCavalcante452,Ei rezende agora falta o calvo e gabi😊 que concorda clica no like,0.0,2024-08-08T21:43:06Z,1
9TbzIKWtvOc,@renanbarbosa3411,Miserável kkkkkkkk,0.0,2024-08-08T20:10:47Z,1
9TbzIKWtvOc,@Gzinxit07,"Cara desgraçado ksksksksks,deixou pra amanhã 😂",0.0,2024-08-08T18:28:29Z,1
9TbzIKWtvOc,@mendoncadigital,"na moral eu to com raiva por isso vou falar isso !! o rezende ta preguiso,vagabundo sem nocao por isso só posta 1 video por dia!!!!! faleiiii <a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>",1.0,2024-08-08T17:26:19Z,1
9TbzIKWtvOc,@USER7778-q3x,Rezende miserável 😂❤❤,0.0,2024-08-08T17:03:03Z,1
9TbzIKWtvOc,@JOAOMIGUEL-vy4lf,Desgraçado kkkkkkk,0.0,2024-08-08T15:34:34Z,1
9TbzIKWtvOc,@LeticiaArruda-t5w,Puta que parou,0.0,2024-08-08T15:29:37Z,1
9TbzIKWtvOc,@homemarvore74,Puta que me pariu meu Deus do céu beija logo ❤❤❤,0.0,2024-08-08T15:00:23Z,1
9TbzIKWtvOc,@ItaloFerreira-ej4wh,Aahhh corno no finalzinho 😢,0.0,2024-08-08T14:20:57Z,1
9TbzIKWtvOc,@Alexiaquirinox,AAHHAAHHAH PUTA QUE PARIU VEY EU TENHO ANSIEDADEE,1.0,2024-08-08T14:13:50Z,1
9TbzIKWtvOc,@GabrielAlves-1904,Haeeeeeeeeeeeeeeeeeeeeee<br><br>Dá like se querem ver o zaza a pedir a gi em namoro <br>(Nâo é obrigatório não sou mendigo de like),0.0,2024-08-08T14:10:24Z,1
Bykdn5SrtM0,@claryunic,é q a carol tem um gosto esquisito,0.0,2025-04-17T00:41:59Z,1
TYWrS9lbHVo,@gerardoandrade5786,Gente nesse vídeo o Nilsson foi um idiota ele sarrou a Julia e a beca nem viu,0.0,2023-09-07T17:17:44Z,1
TYWrS9lbHVo,@davinobre7660,A beca foi burra,1.0,2023-07-06T15:49:58Z,1
TYWrS9lbHVo,@vanessacostadarocha5465,covarde,0.0,2021-10-24T13:17:44Z,1
TYWrS9lbHVo,@millenasilva8670,Nilson só traidor,0.0,2021-09-17T14:49:48Z,1
TYWrS9lbHVo,@paulacezaspaulinodasilva7893,Coitada da beca esse nilson é traidor,0.0,2021-09-04T12:48:57Z,1
TYWrS9lbHVo,@rotinas-prepy4023...,Coitada da Beca bem sabe que é corna,0.0,2021-08-08T02:30:59Z,1
TYWrS9lbHVo,@rosilenerosadeoliveira5842,A beca dançando e eu só outro lado 🤤 sou lésbica,0.0,2021-07-28T17:49:51Z,1
TYWrS9lbHVo,@heeymaninhahs9429,Idiota,0.0,2021-06-27T23:24:42Z,1
TYWrS9lbHVo,@evandroluisluis2888,Nilson muito corno coitada da beça,0.0,2021-06-21T19:23:12Z,1
TYWrS9lbHVo,@beatrizlorando8640,Nilson  desgraçado. Filho da mãe não danço com a beça ela ficou desconfortável,0.0,2021-06-04T14:24:36Z,1
TYWrS9lbHVo,@mariasophiagermer5890,Nossa velho é muito burra 🤣🤣🤣,0.0,2021-06-03T13:04:30Z,1
TYWrS9lbHVo,@elizangelasilva6117,Bom dia Roberta pra mim 5799804481o e de oito ❤❤ bom dia Sophia também está doente e o <br>Meu verdinho de <br>Meu 9 bloco,0.0,2021-05-31T18:52:56Z,1
TYWrS9lbHVo,@ademiltonmachado96,Nossa Nilson idiota traio a beca,0.0,2021-05-26T23:33:22Z,1
TYWrS9lbHVo,@brendamoncao4213,O nilso vagabundo,0.0,2021-05-19T22:26:08Z,1
TYWrS9lbHVo,@camilafelipe5647,A camila ja e gorda com esse short,0.0,2021-05-19T19:31:10Z,1
TYWrS9lbHVo,@camileyasminpoma6951,Camila loures sua burra,0.0,2021-05-18T21:11:23Z,1
TYWrS9lbHVo,@camileyasminpoma6951,Camila loures sua burra,0.0,2021-05-18T21:11:10Z,1
TYWrS9lbHVo,@evelinsilvadarosa4269,Alguém sabe esse toc da  musica amor de vagabundo  gostei do toc,0.0,2021-05-17T19:07:59Z,1
TYWrS9lbHVo,@usuario_675.,Pessoas falando que a camis e gorda eu:e vc é oque um palito só se for,0.0,2021-05-17T16:40:09Z,1
TYWrS9lbHVo,@isacraft1030,"Mano esse nilson é um idiota juro pra quem veio do tik Tok ver o tempo é <a href=""https://www.youtube.com/watch?v=TYWrS9lbHVo&amp;t=1322"">22:02</a>",1.0,2021-05-16T14:51:40Z,1
TYWrS9lbHVo,@ngm8192,Q puta conteúdo em,0.0,2021-05-16T08:08:49Z,1
TYWrS9lbHVo,@mariagilda8513,😭😭seu vagabundo Sarando em outro vasa   vc não merrese  a beca vai cáqua,0.0,2021-05-16T00:32:22Z,1
