video_id,author,comment_text,like_count,published_at,classificacao
CaWh022KuX4,@ValentinaSoaresdaSilva-q9g,Eu  açho eles   tão fofos,0.0,2025-04-25T01:09:34Z,not_toxic
CaWh022KuX4,@phelipeoliveira533,"<a href=""https://www.youtube.com/watch?v=CaWh022KuX4&amp;t=664"">11:04</a> ele tem 16 anos",0.0,2025-04-22T18:48:16Z,not_toxic
CaWh022KuX4,@AntonelaBenites,"<a href=""https://www.youtube.com/watch?v=CaWh022KuX4&amp;t=711"">11:51</a> ❤❤",0.0,2025-04-22T14:14:05Z,not_toxic
CaWh022KuX4,@AntonelaBenites,"<a href=""https://www.youtube.com/watch?v=CaWh022KuX4&amp;t=708"">11:48</a> ❤❤",0.0,2025-04-22T14:12:52Z,not_toxic
CaWh022KuX4,@CíceroAlexGomesPeixoto,Cadê o vini marioto,0.0,2025-04-21T13:44:34Z,not_toxic
CaWh022KuX4,@Nickegugunaarea,🤮,0.0,2025-04-19T00:35:31Z,not_toxic
CaWh022KuX4,@EmillyMelges,"<a href=""https://www.youtube.com/watch?v=CaWh022KuX4&amp;t=523"">8:43</a> óia o pai e o filho",0.0,2025-04-19T00:26:08Z,not_toxic
CaWh022KuX4,@andrezamartinsvalerio5727,Ameii,1.0,2025-04-19T00:22:44Z,not_toxic
CaWh022KuX4,@natashabizerra4739,Agora a Julia tá chegando,0.0,2025-04-18T23:00:23Z,not_toxic
CaWh022KuX4,@natanesuelem881,Oi,0.0,2025-04-18T16:38:17Z,not_toxic
CaWh022KuX4,@DarlenePereira-j1x,Casal perfeito!❤❤❤,0.0,2025-04-18T11:51:53Z,not_toxic
CaWh022KuX4,@neivasenaferreira9241,Amanhã vai sair vídeo né 11 horas me fala aí,0.0,2025-04-17T13:18:16Z,not_toxic
CaWh022KuX4,@mariaclarasilva6893,Os mais lindos ❤❤❤❤,1.0,2025-04-17T03:56:26Z,not_toxic
CaWh022KuX4,@KelynRodriguesgamerKelynRodrig,Acho que a Julia só está esperando o caua pedir ela em namoro...<br>Cadê o pedido cauã???,0.0,2025-04-17T00:15:58Z,not_toxic
CaWh022KuX4,@TalissaLopes-k8s,Acho que ja da bom demais pra se assumir ❤,0.0,2025-04-16T23:50:53Z,not_toxic
CaWh022KuX4,@MariaAniele-s6h,Gente vocês já perceberam quando Cauã beija a Júlia ela sempre fecha o olho Deve ser porque ela gosta muito dele quem concorda deixa um like❤,0.0,2025-04-16T21:39:16Z,not_toxic
CaWh022KuX4,@MariaAniele-s6h,Gente vocês já perceberam quando Cauã beija a Júlia ela sempre fecha o olho Deve ser porque ela gosta muito dele quem concorda deixa um like❤,0.0,2025-04-16T21:38:38Z,not_toxic
CaWh022KuX4,@MariaAniele-s6h,Gente vocês perceberam que quando que é u caua beija Júlia  ela  sempre fecho o olho deve ser porque  ela gosta  muito dele  quem concorda  deixa  um 👍,0.0,2025-04-16T21:36:33Z,toxic
CaWh022KuX4,@AmandaCampos-vk7tq,Eu amo assistir os seus vídeos bjs e abraços pra todos vocês,1.0,2025-04-16T13:16:09Z,not_toxic
CaWh022KuX4,@katlenlaryssa,Esse Artur é bocó,0.0,2025-04-16T12:07:55Z,not_toxic
CaWh022KuX4,@LeonardoHenrique-t8y,Gini teminou mas caju,0.0,2025-04-16T04:54:00Z,not_toxic
CaWh022KuX4,@Todinho9097,😐,0.0,2025-04-16T03:01:20Z,not_toxic
CaWh022KuX4,@VcDecide012,Gente isso nn vai prestar kkk o Rezende vai acabar descobrindo,0.0,2025-04-16T02:40:31Z,toxic
CaWh022KuX4,@biancasonciim.,O susto que eles tomaram kkkkk,0.0,2025-04-16T02:03:23Z,toxic
CaWh022KuX4,@CenildaSantos-z5n,adoro seus vídeos rezendee....cajuu shipo mttoooo 🥹,2.0,2025-04-16T00:28:41Z,not_toxic
CaWh022KuX4,@LarissaRaynara,"Essa Giovana não ajuda em nada,essa chata",1.0,2025-04-15T23:16:47Z,not_toxic
CaWh022KuX4,@leyrianealves9727,Cadê o Pedro engraçado cheio de brincadeira trollagem virou papai mesmo hein papai Pedro Afonso 👊🏻😅😅😅 🤷🏻‍♀️🤷🏻‍♀️,0.0,2025-04-15T23:16:24Z,not_toxic
CaWh022KuX4,@leyrianealves9727,O Pedro Afonso virou pai mesmo hein deixou a casa o o gato saiu e os ratos fez a festa que que tá acontecendo virou pai mesmo hein🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️,0.0,2025-04-15T23:15:18Z,not_toxic
CaWh022KuX4,@StellaChristine-iu8pp,Mano certeza q no off eles ficam,2.0,2025-04-15T23:09:23Z,not_toxic
CaWh022KuX4,@bibikplayerofc,"AAAAA,VOU SURTAR,TO MUITO OBCECADA POR CAJUUU,COMO ISSO E POSSÍVEL?ALGUÉM SABER EXPLICARRR",0.0,2025-04-15T22:46:30Z,not_toxic
CaWh022KuX4,@high-endcodeclub1377,Esse cara é meloso dms prediro o vini,1.0,2025-04-15T22:44:55Z,not_toxic
CaWh022KuX4,@JKlobinho,@Ronazim,0.0,2025-04-15T22:44:43Z,not_toxic
CaWh022KuX4,@BeatrizLetícia-o3k,Tá indo genteeeee,0.0,2025-04-15T22:36:47Z,not_toxic
CaWh022KuX4,@saramoreira5623,Estão mas juntos que Nunk ❤,0.0,2025-04-15T22:34:11Z,not_toxic
CaWh022KuX4,@Franciscamaria-ks7qu,❤❤❤❤❤,0.0,2025-04-15T22:01:59Z,not_toxic
CaWh022KuX4,@MariaVitóriaDejesussantos-i1h,Aaaa❤❤❤❤🎉,0.0,2025-04-15T21:49:37Z,not_toxic
CaWh022KuX4,@PedroPauloNCC,Mostra tudo que vcs aprotaram .,0.0,2025-04-15T21:15:49Z,not_toxic
CaWh022KuX4,@gabrielweiss332,IMPRESSIONTANTE COMO A ANANDA É IGNORADA KAKAKAKKAKAKAKA,2.0,2025-04-15T21:11:39Z,not_toxic
CaWh022KuX4,@nazaresilva3259,❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.0,2025-04-15T21:08:45Z,not_toxic
CaWh022KuX4,@CAROILNE-s8p,Cauã. CAROiL 😊,1.0,2025-04-15T21:00:26Z,not_toxic
CaWh022KuX4,@CAROILNE-s8p,Júlia 😡😡😡,1.0,2025-04-15T21:00:03Z,not_toxic
CaWh022KuX4,@VictorOliveiraventuradeSouza,Oxi oq que o Rafinha tá casando ai,2.0,2025-04-15T20:56:05Z,not_toxic
CaWh022KuX4,@TalissaLopes-k8s,❤❤❤❤❤😊,1.0,2025-04-15T20:55:22Z,not_toxic
CaWh022KuX4,@EMILLYavl,Grava o restoooooo,0.0,2025-04-15T20:15:43Z,not_toxic
CaWh022KuX4,@EMILLYavl,Eles lá trás akakkaka,0.0,2025-04-15T20:13:55Z,not_toxic
